DATE,INDPRO
3/1/2014,101.7767
4/1/2014,101.8425
5/1/2014,102.2594
6/1/2014,102.5986
7/1/2014,102.8163
8/1/2014,102.6562
9/1/2014,102.9776
10/1/2014,102.9892
11/1/2014,103.6402
12/1/2014,103.6345
1/1/2015,102.8239
2/1/2015,102.1513
3/1/2015,101.824
4/1/2015,101.244
5/1/2015,100.783
6/1/2015,100.4781
7/1/2015,101.1052
8/1/2015,100.9442
9/1/2015,100.6507
10/1/2015,100.1871
11/1/2015,99.4382
12/1/2015,98.939
1/1/2016,99.4558
2/1/2016,98.9136
3/1/2016,98.1907
4/1/2016,98.4669
5/1/2016,98.2518
6/1/2016,98.7275
